project_id,sanctioned_cost_lakh,planned_duration_days,sanction_to_start_lag_days,num_bidders,vendor_past_overrun_rate,vendor_completed_projects,district_past_delay_rate,monsoon_overlap_months,fund_release_tranches,rate_deviation_pct,is_election_year,category_code,is_delayed_or_overrun
PRJ-300626,29.8,329.0,63.9,8.0,0.1526,23.0,0.2946,4.0,1.0,10.59,0.0,5.0,0
PRJ-300627,14.86,300.0,29.8,1.0,0.0623,58.0,0.3559,0.0,3.0,-1.3,1.0,0.0,0
PRJ-300628,7.8,318.0,49.1,1.0,0.1283,51.0,0.1136,2.0,1.0,13.19,0.0,3.0,0
PRJ-300629,11.89,205.0,36.6,8.0,0.0994,2.0,0.3357,0.0,3.0,27.85,0.0,4.0,0
PRJ-300630,8.69,344.0,233.0,7.0,0.1585,40.0,0.3586,1.0,4.0,6.9,0.0,6.0,0
PRJ-300631,13.02,184.0,40.1,7.0,0.173,45.0,0.1516,4.0,3.0,-3.65,0.0,7.0,0
PRJ-300632,8.92,288.0,37.4,2.0,0.2412,8.0,0.7362,0.0,2.0,14.21,0.0,0.0,0
PRJ-300633,11.28,250.0,88.5,6.0,0.112,52.0,0.3935,0.0,4.0,-23.23,0.0,8.0,0
PRJ-300634,18.55,398.0,97.4,7.0,0.2219,10.0,0.3887,0.0,3.0,28.13,0.0,4.0,1
PRJ-300635,17.8,487.0,54.6,1.0,0.2626,59.0,0.8452,3.0,1.0,1.22,0.0,0.0,1
PRJ-300636,28.78,358.0,99.3,3.0,0.191,0.0,0.6132,1.0,3.0,3.43,0.0,3.0,1
PRJ-300637,15.54,112.0,207.7,3.0,0.2303,39.0,0.5806,1.0,1.0,-18.71,1.0,8.0,1
PRJ-300638,12.39,375.0,35.1,5.0,0.3805,14.0,0.6028,3.0,4.0,10.99,0.0,4.0,0
PRJ-300639,31.42,205.0,15.7,3.0,0.383,36.0,0.1539,3.0,1.0,1.49,0.0,6.0,1
PRJ-300640,10.51,69.0,60.4,3.0,0.2545,45.0,0.357,2.0,3.0,-1.59,1.0,3.0,0
PRJ-300641,2.17,140.0,93.0,3.0,0.2743,33.0,0.1577,4.0,4.0,-7.46,0.0,3.0,0
PRJ-300642,20.07,539.0,126.1,1.0,0.131,44.0,0.3845,2.0,4.0,-10.62,0.0,4.0,1
PRJ-300643,14.38,256.0,68.5,6.0,0.2402,45.0,0.198,1.0,2.0,-8.84,0.0,4.0,0
PRJ-300644,12.01,144.0,45.9,6.0,0.1706,19.0,0.7377,1.0,1.0,-19.47,0.0,8.0,0
PRJ-300645,20.41,111.0,23.3,8.0,0.2306,52.0,0.7738,1.0,2.0,2.43,0.0,3.0,0
PRJ-300646,8.97,366.0,108.1,5.0,0.7033,4.0,0.4198,0.0,3.0,19.04,0.0,1.0,0
PRJ-300647,2.24,421.0,56.8,6.0,0.3769,31.0,0.3003,2.0,2.0,4.75,0.0,2.0,0
PRJ-300648,20.66,219.0,8.2,3.0,0.5409,45.0,0.3778,0.0,4.0,-9.84,0.0,4.0,0
PRJ-300649,7.61,96.0,164.2,4.0,0.4435,43.0,0.3634,0.0,3.0,3.93,0.0,8.0,0
PRJ-300650,6.0,220.0,16.6,4.0,0.2828,19.0,0.4239,0.0,1.0,-31.83,0.0,4.0,1
PRJ-300651,2.33,374.0,94.2,8.0,0.3966,57.0,0.2662,0.0,2.0,20.46,0.0,0.0,0
PRJ-300652,19.59,101.0,53.3,4.0,0.1316,59.0,0.4195,0.0,2.0,-6.71,0.0,8.0,0
PRJ-300653,1.69,177.0,8.9,7.0,0.2763,6.0,0.2482,4.0,3.0,6.16,0.0,4.0,0
PRJ-300654,25.65,45.0,41.9,3.0,0.2218,5.0,0.4809,4.0,4.0,-0.67,1.0,1.0,1
PRJ-300655,9.59,278.0,35.2,6.0,0.0564,35.0,0.3805,2.0,1.0,6.98,0.0,7.0,0
PRJ-300656,20.17,129.0,11.4,3.0,0.4067,11.0,0.3018,2.0,1.0,27.97,0.0,5.0,0
PRJ-300657,15.85,143.0,63.8,4.0,0.5537,4.0,0.3597,2.0,4.0,-25.67,0.0,3.0,1
PRJ-300658,35.0,100.0,85.1,7.0,0.1725,48.0,0.3465,3.0,3.0,3.1,0.0,3.0,0
PRJ-300659,15.57,406.0,44.2,6.0,0.1434,26.0,0.6536,3.0,4.0,3.42,0.0,2.0,0
PRJ-300660,25.07,287.0,34.4,4.0,0.3249,51.0,0.6497,1.0,4.0,-4.54,0.0,7.0,0
PRJ-300661,8.2,514.0,67.4,4.0,0.4759,43.0,0.399,1.0,2.0,-8.9,0.0,3.0,0
PRJ-300662,3.65,240.0,1.6,7.0,0.0675,39.0,0.4751,3.0,2.0,11.47,0.0,4.0,0
PRJ-300663,22.15,154.0,31.3,2.0,0.1444,22.0,0.5353,3.0,1.0,-0.42,0.0,8.0,0
PRJ-300664,3.57,146.0,33.3,7.0,0.3317,44.0,0.1978,1.0,3.0,-0.01,1.0,2.0,0
PRJ-300665,19.45,516.0,45.3,5.0,0.1172,6.0,0.4071,0.0,2.0,-3.61,1.0,5.0,0
PRJ-300666,5.5,336.0,10.6,3.0,0.1877,18.0,0.6262,0.0,1.0,-1.91,0.0,3.0,0
PRJ-300667,14.56,206.0,5.8,6.0,0.0837,49.0,0.1146,0.0,1.0,7.33,0.0,1.0,0
PRJ-300668,35.4,368.0,18.2,8.0,0.3689,40.0,0.4156,1.0,4.0,6.82,0.0,8.0,1
PRJ-300669,18.51,321.0,63.1,3.0,0.1962,14.0,0.2469,4.0,4.0,-9.32,0.0,6.0,1
PRJ-300670,10.54,101.0,32.8,4.0,0.254,51.0,0.3318,2.0,4.0,-3.64,0.0,7.0,0
PRJ-300671,16.09,392.0,18.0,8.0,0.167,30.0,0.4388,4.0,4.0,12.22,0.0,0.0,0
PRJ-300672,8.41,103.0,147.4,3.0,0.1526,44.0,0.2276,4.0,3.0,20.19,1.0,5.0,0
PRJ-300673,43.81,143.0,34.4,7.0,0.4132,8.0,0.3717,0.0,2.0,20.2,0.0,1.0,1
PRJ-300674,7.21,398.0,45.5,8.0,0.3135,8.0,0.2594,0.0,3.0,19.27,0.0,2.0,0
PRJ-300675,11.33,265.0,107.0,5.0,0.0672,59.0,0.3395,2.0,4.0,2.39,1.0,5.0,0
PRJ-300676,17.47,154.0,50.7,1.0,0.4052,54.0,0.2299,4.0,1.0,12.42,0.0,1.0,1
PRJ-300677,15.35,78.0,66.9,1.0,0.0374,22.0,0.3948,3.0,4.0,4.4,0.0,0.0,1
PRJ-300678,16.47,338.0,22.3,3.0,0.3386,55.0,0.488,2.0,3.0,-8.86,0.0,7.0,1
PRJ-300679,8.54,390.0,47.5,1.0,0.1544,49.0,0.3338,1.0,4.0,-1.47,0.0,0.0,0
PRJ-300680,10.24,145.0,135.0,7.0,0.0933,16.0,0.119,1.0,3.0,-2.47,0.0,3.0,0
PRJ-300681,21.52,251.0,60.9,6.0,0.1633,23.0,0.3816,0.0,1.0,11.1,1.0,5.0,0
PRJ-300682,20.86,215.0,54.6,4.0,0.1782,31.0,0.4205,3.0,4.0,9.55,0.0,8.0,0
PRJ-300683,15.58,486.0,37.2,7.0,0.1919,20.0,0.5384,3.0,4.0,-1.24,0.0,8.0,0
PRJ-300684,27.0,436.0,13.8,2.0,0.2885,17.0,0.7358,2.0,1.0,-2.72,0.0,1.0,0
PRJ-300685,22.05,180.0,99.2,5.0,0.1423,14.0,0.2655,3.0,2.0,-8.17,1.0,1.0,1
PRJ-300686,20.46,299.0,42.8,3.0,0.2369,38.0,0.2028,3.0,3.0,-3.93,1.0,8.0,0
PRJ-300687,3.52,502.0,25.3,1.0,0.2809,24.0,0.4004,3.0,4.0,-1.27,0.0,8.0,0
PRJ-300688,15.46,216.0,12.3,4.0,0.0798,58.0,0.342,0.0,3.0,3.95,1.0,2.0,0
PRJ-300689,13.72,114.0,56.7,2.0,0.4926,52.0,0.1266,0.0,2.0,1.36,0.0,4.0,0
PRJ-300690,29.14,192.0,16.1,1.0,0.3801,5.0,0.3108,4.0,3.0,-9.65,0.0,4.0,1
PRJ-300691,10.9,345.0,99.8,2.0,0.3214,39.0,0.2954,2.0,4.0,-5.84,0.0,7.0,0
PRJ-300692,12.99,536.0,26.6,2.0,0.049,38.0,0.3574,0.0,2.0,-1.31,0.0,7.0,0
PRJ-300693,5.45,197.0,48.3,6.0,0.0435,3.0,0.4446,1.0,1.0,6.08,0.0,5.0,0
PRJ-300694,6.25,73.0,60.0,7.0,0.5808,47.0,0.6505,4.0,2.0,-5.97,0.0,7.0,1
PRJ-300695,29.2,134.0,55.0,4.0,0.0933,32.0,0.2964,3.0,1.0,-17.58,0.0,3.0,0
PRJ-300696,16.43,249.0,85.3,6.0,0.2557,49.0,0.5236,2.0,3.0,-13.36,0.0,5.0,0
PRJ-300697,35.45,91.0,28.7,1.0,0.1691,29.0,0.3888,2.0,1.0,3.83,0.0,1.0,0
PRJ-300698,10.77,62.0,45.8,7.0,0.4679,25.0,0.4701,2.0,1.0,5.57,0.0,1.0,0
PRJ-300699,4.16,369.0,69.6,5.0,0.4451,41.0,0.0779,2.0,2.0,-7.04,0.0,5.0,0
PRJ-300700,9.75,453.0,126.4,4.0,0.2676,45.0,0.1199,2.0,1.0,-11.88,1.0,0.0,0
PRJ-300701,8.63,160.0,81.1,7.0,0.4482,45.0,0.4459,1.0,2.0,-16.85,1.0,8.0,0
PRJ-300702,18.91,303.0,92.0,3.0,0.4531,28.0,0.3999,0.0,4.0,-16.27,0.0,0.0,0
PRJ-300703,18.44,328.0,35.1,4.0,0.0719,33.0,0.3493,2.0,4.0,-4.64,0.0,2.0,0
PRJ-300704,16.96,375.0,60.8,8.0,0.2664,59.0,0.4377,2.0,2.0,-18.87,0.0,4.0,0
PRJ-300705,42.22,529.0,114.2,2.0,0.1197,52.0,0.2761,2.0,1.0,1.94,0.0,4.0,1
PRJ-300706,26.04,483.0,44.0,5.0,0.0858,23.0,0.5789,4.0,1.0,6.14,1.0,5.0,0
PRJ-300707,6.57,201.0,61.1,5.0,0.3577,38.0,0.2069,0.0,1.0,-16.37,0.0,4.0,0
PRJ-300708,22.5,527.0,9.5,6.0,0.2401,9.0,0.2453,3.0,4.0,-12.42,0.0,4.0,0
PRJ-300709,12.43,62.0,74.5,8.0,0.3705,20.0,0.2555,0.0,3.0,-1.12,0.0,1.0,0
PRJ-300710,10.57,521.0,54.1,3.0,0.046,32.0,0.6541,1.0,1.0,-9.73,0.0,1.0,0
PRJ-300711,28.06,115.0,71.0,1.0,0.1887,22.0,0.5938,3.0,4.0,2.29,0.0,0.0,1
PRJ-300712,6.27,101.0,35.8,4.0,0.4771,55.0,0.5619,2.0,2.0,11.81,0.0,6.0,0
PRJ-300713,21.58,104.0,7.2,2.0,0.2116,51.0,0.5005,1.0,3.0,-2.46,1.0,8.0,0
PRJ-300714,19.49,105.0,77.0,6.0,0.2606,1.0,0.3217,2.0,3.0,-20.44,0.0,4.0,1
PRJ-300715,6.18,274.0,25.1,5.0,0.057,15.0,0.3432,2.0,4.0,2.01,0.0,6.0,0
PRJ-300716,3.43,361.0,10.7,7.0,0.2476,9.0,0.1851,0.0,4.0,-4.07,0.0,8.0,0
PRJ-300717,11.53,413.0,51.4,3.0,0.0563,8.0,0.1272,0.0,4.0,6.38,0.0,8.0,0
PRJ-300718,24.13,52.0,137.5,8.0,0.4193,32.0,0.3726,1.0,2.0,27.9,1.0,0.0,0
PRJ-300719,15.42,191.0,21.8,8.0,0.2348,45.0,0.4232,1.0,1.0,-11.51,0.0,8.0,0
PRJ-300720,28.62,110.0,26.0,8.0,0.1361,43.0,0.6663,2.0,3.0,-8.79,1.0,4.0,0
PRJ-300721,14.75,117.0,79.7,6.0,0.5736,25.0,0.1143,0.0,2.0,3.44,0.0,8.0,0
PRJ-300722,29.8,414.0,38.5,2.0,0.3687,24.0,0.3626,1.0,1.0,10.38,0.0,6.0,0
PRJ-300723,8.01,362.0,76.8,2.0,0.2575,13.0,0.1954,1.0,4.0,24.48,0.0,1.0,1
PRJ-300724,16.92,148.0,36.9,8.0,0.2602,51.0,0.2841,3.0,2.0,-5.06,0.0,8.0,0
PRJ-300725,9.26,194.0,32.3,7.0,0.1206,49.0,0.3803,3.0,3.0,-10.45,1.0,4.0,1
PRJ-300726,11.29,502.0,22.8,8.0,0.5964,22.0,0.4368,3.0,1.0,-9.52,0.0,5.0,0
PRJ-300727,12.96,329.0,57.7,6.0,0.1316,11.0,0.2132,3.0,4.0,-5.26,0.0,3.0,1
PRJ-300728,15.39,163.0,22.7,7.0,0.1281,28.0,0.4455,2.0,3.0,-2.97,0.0,7.0,0
PRJ-300729,7.25,507.0,30.7,4.0,0.2336,43.0,0.3917,0.0,4.0,2.04,0.0,5.0,0
PRJ-300730,16.41,143.0,98.7,2.0,0.2333,16.0,0.372,3.0,3.0,0.38,1.0,5.0,1
PRJ-300731,12.53,189.0,177.6,3.0,0.2296,20.0,0.2244,0.0,1.0,-15.35,0.0,7.0,0
PRJ-300732,4.34,387.0,63.2,7.0,0.4242,8.0,0.2391,2.0,2.0,-18.38,1.0,5.0,0
PRJ-300733,3.06,298.0,101.3,6.0,0.1671,42.0,0.3679,0.0,3.0,-1.3,0.0,8.0,0
PRJ-300734,24.19,79.0,33.8,8.0,0.0395,52.0,0.3192,1.0,4.0,-9.15,0.0,5.0,0
PRJ-300735,10.92,444.0,37.6,8.0,0.4429,46.0,0.3332,4.0,4.0,-7.15,0.0,0.0,1
PRJ-300736,4.0,157.0,53.2,7.0,0.3288,48.0,0.3524,0.0,1.0,10.57,1.0,1.0,0
PRJ-300737,32.81,387.0,25.4,1.0,0.3198,9.0,0.2821,1.0,3.0,7.87,0.0,6.0,1
PRJ-300738,17.48,210.0,31.9,2.0,0.6127,52.0,0.4187,0.0,4.0,-4.39,0.0,8.0,0
PRJ-300739,15.13,416.0,74.9,4.0,0.1749,49.0,0.3449,4.0,1.0,12.2,1.0,6.0,0
PRJ-300740,6.79,489.0,46.6,1.0,0.3021,19.0,0.3696,4.0,1.0,13.0,0.0,3.0,1
PRJ-300741,4.29,427.0,40.8,8.0,0.0812,37.0,0.2721,2.0,3.0,16.4,0.0,7.0,0
PRJ-300742,13.73,500.0,39.3,2.0,0.4236,4.0,0.2412,0.0,3.0,18.69,0.0,2.0,1
PRJ-300743,12.02,312.0,18.3,4.0,0.1949,51.0,0.5465,4.0,2.0,-2.46,1.0,2.0,0
PRJ-300744,5.51,77.0,51.7,6.0,0.0811,0.0,0.5926,0.0,4.0,13.31,0.0,6.0,0
PRJ-300745,5.37,310.0,25.4,1.0,0.2132,1.0,0.2374,1.0,3.0,-3.67,0.0,1.0,0
PRJ-300746,5.17,273.0,9.4,6.0,0.3432,36.0,0.2912,2.0,1.0,14.57,0.0,6.0,0
PRJ-300747,5.04,400.0,15.9,1.0,0.3155,45.0,0.5929,4.0,4.0,-2.84,0.0,3.0,0
PRJ-300748,7.82,168.0,39.9,8.0,0.1659,49.0,0.3817,0.0,2.0,0.23,1.0,4.0,0
PRJ-300749,15.13,390.0,70.6,6.0,0.4079,59.0,0.5515,4.0,1.0,-12.04,0.0,3.0,0
PRJ-300750,16.81,263.0,84.2,3.0,0.3072,1.0,0.3075,1.0,2.0,-12.16,1.0,7.0,0
PRJ-300751,11.85,376.0,12.4,6.0,0.1902,42.0,0.5412,0.0,2.0,4.89,0.0,7.0,0
PRJ-300752,13.32,252.0,65.7,3.0,0.2664,19.0,0.2948,4.0,2.0,11.63,1.0,3.0,0
PRJ-300753,17.32,234.0,143.1,1.0,0.4832,55.0,0.4351,4.0,1.0,-12.41,0.0,8.0,1
PRJ-300754,2.51,151.0,87.2,1.0,0.2554,17.0,0.4101,0.0,1.0,15.91,0.0,4.0,1
PRJ-300755,14.01,455.0,50.2,2.0,0.3327,24.0,0.6197,1.0,3.0,14.56,0.0,7.0,1
PRJ-300756,26.77,78.0,53.4,6.0,0.1346,17.0,0.6262,1.0,2.0,4.77,0.0,3.0,0
PRJ-300757,10.73,161.0,49.2,5.0,0.0758,42.0,0.2087,0.0,1.0,11.4,1.0,2.0,0
PRJ-300758,23.58,256.0,30.0,3.0,0.4459,54.0,0.3655,4.0,2.0,-6.31,0.0,7.0,0
PRJ-300759,10.86,122.0,90.1,6.0,0.4876,34.0,0.2996,1.0,2.0,-17.03,1.0,3.0,1
PRJ-300760,18.06,498.0,19.8,4.0,0.3639,20.0,0.509,4.0,4.0,-6.28,0.0,5.0,0
PRJ-300761,14.93,215.0,52.2,2.0,0.0527,20.0,0.1995,0.0,4.0,14.27,0.0,7.0,0
PRJ-300762,5.11,164.0,9.2,6.0,0.1124,41.0,0.4654,1.0,3.0,15.16,0.0,3.0,0
PRJ-300763,6.03,170.0,95.8,4.0,0.4907,37.0,0.4756,2.0,1.0,-14.2,1.0,3.0,0
PRJ-300764,29.8,139.0,50.7,6.0,0.1307,14.0,0.3558,0.0,2.0,-14.38,0.0,8.0,0
PRJ-300765,20.59,373.0,11.5,5.0,0.34,21.0,0.4163,2.0,2.0,-10.69,0.0,1.0,0
PRJ-300766,11.36,283.0,118.3,1.0,0.505,56.0,0.2133,2.0,3.0,-23.26,0.0,0.0,0
PRJ-300767,10.37,159.0,42.3,1.0,0.0269,56.0,0.2111,1.0,4.0,-7.33,0.0,4.0,0
PRJ-300768,6.82,477.0,14.3,1.0,0.1517,23.0,0.2453,1.0,3.0,5.78,0.0,8.0,0
PRJ-300769,15.77,369.0,151.6,2.0,0.1559,47.0,0.4321,1.0,4.0,-36.07,0.0,6.0,0
PRJ-300770,7.25,244.0,37.0,2.0,0.1879,4.0,0.3208,1.0,4.0,-0.91,1.0,0.0,0
PRJ-300771,9.46,299.0,23.2,8.0,0.1147,52.0,0.1027,0.0,3.0,17.0,0.0,7.0,0
PRJ-300772,7.8,369.0,54.2,7.0,0.2061,19.0,0.311,2.0,2.0,10.93,0.0,0.0,1
PRJ-300773,19.79,120.0,16.0,8.0,0.3757,38.0,0.5814,3.0,3.0,4.77,1.0,6.0,0
PRJ-300774,11.05,445.0,30.0,4.0,0.3897,36.0,0.3589,4.0,2.0,1.3,1.0,0.0,0
PRJ-300775,13.39,172.0,109.1,3.0,0.3311,50.0,0.5471,1.0,3.0,13.6,0.0,1.0,1
PRJ-300776,5.18,59.0,37.7,4.0,0.2513,57.0,0.2315,2.0,3.0,6.05,0.0,4.0,0
PRJ-300777,7.76,303.0,62.9,7.0,0.3476,22.0,0.3321,2.0,3.0,-3.29,0.0,4.0,0
PRJ-300778,13.58,478.0,112.4,3.0,0.5725,32.0,0.7005,3.0,2.0,11.23,0.0,3.0,1
PRJ-300779,3.58,407.0,36.8,6.0,0.4651,39.0,0.1001,2.0,3.0,-16.37,0.0,1.0,0
PRJ-300780,10.49,197.0,22.3,2.0,0.4845,35.0,0.4839,2.0,1.0,9.52,1.0,7.0,0
PRJ-300781,12.09,242.0,71.6,8.0,0.6138,20.0,0.711,3.0,2.0,6.58,1.0,0.0,1
PRJ-300782,4.71,339.0,13.8,6.0,0.4711,22.0,0.3928,0.0,4.0,2.4,1.0,7.0,0
PRJ-300783,22.93,160.0,20.1,8.0,0.3859,35.0,0.6515,3.0,1.0,1.13,1.0,7.0,0
PRJ-300784,15.28,450.0,11.2,3.0,0.124,56.0,0.376,0.0,4.0,20.19,0.0,4.0,0
PRJ-300785,10.99,191.0,107.0,5.0,0.0929,4.0,0.6137,4.0,4.0,13.0,0.0,2.0,1
PRJ-300786,7.37,152.0,47.8,3.0,0.1915,13.0,0.3464,3.0,3.0,16.47,0.0,3.0,0
PRJ-300787,3.47,92.0,73.5,4.0,0.3616,47.0,0.6045,3.0,2.0,5.85,0.0,6.0,0
PRJ-300788,21.84,388.0,21.4,3.0,0.3532,35.0,0.4268,4.0,4.0,13.78,0.0,6.0,0
PRJ-300789,8.87,57.0,61.1,2.0,0.1618,25.0,0.3473,1.0,4.0,5.4,0.0,6.0,0
PRJ-300790,4.16,443.0,62.7,4.0,0.1135,21.0,0.5281,0.0,4.0,-1.71,0.0,1.0,0
PRJ-300791,7.22,526.0,151.1,5.0,0.1265,59.0,0.1596,4.0,2.0,9.48,0.0,1.0,1
PRJ-300792,16.33,100.0,69.1,2.0,0.4316,53.0,0.3718,4.0,3.0,-3.17,0.0,4.0,0
PRJ-300793,14.27,92.0,84.0,4.0,0.1603,51.0,0.5418,2.0,3.0,14.16,0.0,0.0,0
PRJ-300794,5.53,507.0,50.7,1.0,0.2688,17.0,0.1626,2.0,4.0,-14.51,0.0,4.0,1
PRJ-300795,24.29,106.0,2.1,6.0,0.1381,36.0,0.4123,0.0,4.0,-2.95,0.0,3.0,0
PRJ-300796,4.12,246.0,57.2,3.0,0.2132,57.0,0.1555,1.0,3.0,-8.11,0.0,3.0,0
PRJ-300797,27.43,476.0,39.7,1.0,0.1505,15.0,0.4234,2.0,1.0,28.08,0.0,4.0,1
PRJ-300798,13.88,113.0,38.1,5.0,0.3489,12.0,0.6971,0.0,3.0,-7.77,0.0,3.0,0
PRJ-300799,9.34,373.0,31.2,7.0,0.2882,37.0,0.3182,0.0,2.0,-0.61,0.0,3.0,0
PRJ-300800,10.26,234.0,38.1,8.0,0.1266,11.0,0.4414,1.0,1.0,-24.69,0.0,4.0,0
PRJ-300801,12.86,260.0,26.4,8.0,0.3944,45.0,0.2212,1.0,2.0,20.62,0.0,2.0,0
PRJ-300802,17.15,505.0,78.5,2.0,0.0521,51.0,0.296,1.0,4.0,-9.66,0.0,4.0,0
PRJ-300803,3.04,366.0,18.5,2.0,0.3671,28.0,0.2251,0.0,4.0,18.1,0.0,0.0,1
PRJ-300804,7.05,203.0,138.0,8.0,0.2445,59.0,0.1906,1.0,2.0,-12.45,0.0,0.0,0
PRJ-300805,12.59,507.0,73.9,6.0,0.297,35.0,0.7581,0.0,1.0,-11.62,0.0,5.0,1
PRJ-300806,24.86,332.0,93.4,5.0,0.3033,24.0,0.471,3.0,3.0,10.04,0.0,3.0,0
PRJ-300807,24.28,94.0,19.8,7.0,0.1317,52.0,0.2573,1.0,4.0,-18.49,0.0,4.0,1
PRJ-300808,30.95,239.0,29.4,1.0,0.2,37.0,0.4718,0.0,4.0,5.22,0.0,3.0,0
PRJ-300809,23.56,165.0,49.2,5.0,0.162,8.0,0.4683,3.0,1.0,-9.08,0.0,8.0,0
PRJ-300810,6.68,363.0,45.7,5.0,0.0751,51.0,0.373,1.0,3.0,25.97,0.0,4.0,0
PRJ-300811,12.06,470.0,74.0,8.0,0.0681,29.0,0.4285,2.0,4.0,21.73,0.0,1.0,1
PRJ-300812,23.65,64.0,45.8,4.0,0.0827,20.0,0.3328,3.0,4.0,15.29,0.0,3.0,0
PRJ-300813,22.23,431.0,143.0,5.0,0.1962,51.0,0.1863,2.0,1.0,28.05,0.0,4.0,0
PRJ-300814,10.61,498.0,20.2,7.0,0.2757,46.0,0.2723,0.0,1.0,-7.36,0.0,2.0,0
PRJ-300815,16.85,537.0,16.5,3.0,0.209,23.0,0.3381,2.0,1.0,9.46,0.0,4.0,0
PRJ-300816,8.83,372.0,28.2,1.0,0.4234,59.0,0.397,2.0,3.0,-11.24,0.0,8.0,0
PRJ-300817,3.88,200.0,38.2,4.0,0.3551,53.0,0.3465,0.0,4.0,10.6,1.0,4.0,0
PRJ-300818,11.25,116.0,99.1,5.0,0.3732,10.0,0.5983,3.0,3.0,4.19,0.0,0.0,0
PRJ-300819,10.8,512.0,59.9,4.0,0.1076,33.0,0.4707,3.0,4.0,-14.71,1.0,0.0,0
PRJ-300820,8.54,249.0,2.8,6.0,0.5055,38.0,0.7067,3.0,1.0,-0.6,0.0,6.0,0
PRJ-300821,17.2,215.0,3.3,3.0,0.3456,24.0,0.5313,2.0,2.0,1.26,0.0,1.0,1
PRJ-300822,10.37,408.0,41.1,1.0,0.0936,31.0,0.2248,3.0,1.0,0.88,0.0,5.0,0
PRJ-300823,15.7,398.0,32.2,7.0,0.154,59.0,0.1963,0.0,3.0,21.59,0.0,0.0,0
PRJ-300824,19.56,445.0,42.0,7.0,0.4197,34.0,0.3017,0.0,4.0,-12.74,1.0,2.0,0
PRJ-300825,45.37,481.0,38.2,5.0,0.0572,9.0,0.4633,2.0,1.0,-8.07,0.0,1.0,0
PRJ-300826,11.38,479.0,129.2,3.0,0.3332,51.0,0.3187,3.0,4.0,-35.57,0.0,5.0,1
PRJ-300827,25.08,129.0,89.0,3.0,0.2557,20.0,0.2152,0.0,4.0,8.12,0.0,4.0,0
PRJ-300828,14.14,128.0,29.5,4.0,0.3343,10.0,0.4261,3.0,4.0,9.85,0.0,4.0,0
PRJ-300829,14.67,146.0,45.2,4.0,0.3222,13.0,0.1847,3.0,4.0,10.59,0.0,6.0,0
PRJ-300830,11.48,355.0,35.8,2.0,0.0488,49.0,0.528,4.0,1.0,-0.44,0.0,1.0,0
PRJ-300831,13.34,332.0,5.4,3.0,0.447,58.0,0.2933,1.0,4.0,-8.85,1.0,3.0,0
PRJ-300832,10.44,469.0,30.6,3.0,0.269,11.0,0.3022,3.0,2.0,-14.33,1.0,5.0,0
PRJ-300833,22.42,462.0,31.0,4.0,0.3841,9.0,0.6613,0.0,4.0,6.78,0.0,2.0,1
PRJ-300834,7.24,447.0,25.5,4.0,0.0653,58.0,0.1765,3.0,3.0,-9.89,0.0,1.0,0
PRJ-300835,3.85,84.0,29.9,5.0,0.1832,7.0,0.3533,0.0,3.0,-20.08,0.0,4.0,0
PRJ-300836,8.34,389.0,36.3,7.0,0.1085,33.0,0.3528,2.0,4.0,12.46,1.0,4.0,1
PRJ-300837,7.73,466.0,63.5,3.0,0.5273,15.0,0.3307,2.0,2.0,-4.38,0.0,5.0,1
PRJ-300838,8.34,531.0,27.3,1.0,0.4373,11.0,0.5892,4.0,1.0,2.04,0.0,7.0,1
PRJ-300839,11.08,214.0,109.4,7.0,0.1289,36.0,0.1837,3.0,4.0,-40.68,0.0,6.0,1
PRJ-300840,8.36,429.0,20.0,2.0,0.3028,10.0,0.4192,2.0,4.0,-0.51,0.0,6.0,1
PRJ-300841,10.97,246.0,96.9,8.0,0.0612,15.0,0.4667,1.0,2.0,-2.83,0.0,3.0,0
PRJ-300842,8.38,124.0,56.3,5.0,0.1294,38.0,0.8139,4.0,4.0,22.31,0.0,7.0,0
PRJ-300843,15.91,213.0,15.2,5.0,0.4133,19.0,0.3255,1.0,4.0,-2.97,1.0,2.0,0
PRJ-300844,45.12,169.0,35.6,4.0,0.0398,59.0,0.2676,4.0,1.0,-36.36,1.0,0.0,0
PRJ-300845,13.95,496.0,132.5,6.0,0.2265,32.0,0.4534,2.0,1.0,-2.88,0.0,4.0,0
PRJ-300846,8.62,131.0,20.3,6.0,0.2257,6.0,0.6596,0.0,4.0,0.09,0.0,5.0,0
PRJ-300847,1.91,109.0,135.0,8.0,0.4821,38.0,0.2691,4.0,3.0,15.78,0.0,5.0,0
PRJ-300848,36.16,331.0,64.8,1.0,0.1666,36.0,0.4043,0.0,1.0,-0.58,0.0,5.0,0
PRJ-300849,14.47,329.0,57.0,2.0,0.6485,34.0,0.5419,4.0,3.0,-5.32,0.0,2.0,1
PRJ-300850,10.91,322.0,62.1,3.0,0.1908,57.0,0.3068,3.0,1.0,-1.81,0.0,2.0,0
PRJ-300851,1.99,118.0,34.8,2.0,0.1047,36.0,0.4955,4.0,2.0,35.36,0.0,0.0,0
PRJ-300852,11.3,291.0,21.1,8.0,0.009,45.0,0.4696,4.0,4.0,6.29,1.0,4.0,0
PRJ-300853,13.27,504.0,46.7,1.0,0.3118,40.0,0.3704,3.0,2.0,-3.63,0.0,7.0,0
PRJ-300854,8.4,89.0,58.6,1.0,0.205,15.0,0.5027,0.0,2.0,12.64,1.0,5.0,0
